0,200,50,20,13,2
0,220,50,20,7,0
0,240,50,20,0,0
0,280,50,20,6,8
0,340,50,20,8,9
50,200,50,20,3,9
50,400,50,20,0,6
50,420,50,20,0,6
100,280,50,20,8,6
100,400,50,20,0,7
100,420,50,20,0,0
150,200,50,20,0,6
150,220,50,20,0,6
150,240,50,20,0,6
150,260,50,20,0,6
150,280,50,20,0,6
150,400,50,20,9,5
150,420,50,20,0,0
200,200,50,20,4,0
200,220,50,20,4,0
200,240,50,20,4,0
200,260,50,20,0,0
200,280,50,20,0,0
200,400,50,20,9,6
200,420,50,20,0,0
250,260,50,20,8,6
250,280,50,20,0,6
250,320,50,20,2,6
250,400,50,20,9,7
250,420,50,20,0,0
300,200,50,20,5,o
300,220,50,20,5,o
300,240,50,20,5,o
300,260,50,20,5,o
300,280,50,20,5,o
300,300,50,20,5,o
300,320,50,20,5,o
300,400,50,20,9,8
300,420,50,20,0,0
350,380,50,20,3,9
350,400,50,20,0,6
350,420,50,20,0,6
400,280,50,20,12,4
400,300,50,20,12,0
400,420,50,20,0,0
450,280,50,20,12,3
450,300,50,20,12,0
450,420,50,20,0,0
500,240,50,20,1,1
500,400,50,20,0,6
500,420,50,20,0,6
550,420,50,20,0,0
600,200,50,20,2,3
600,260,50,20,3,2
600,360,50,20,4,5
600,420,50,20,0,0
650,280,50,20,7,0
650,300,50,20,7,0
650,320,50,20,7,0
650,340,50,20,7,0
650,400,50,20,0,6
650,420,50,20,0,6
700,220,50,20,4,0
700,280,50,20,5,1
700,300,50,20,0,6
750,340,50,20,1,2
750,360,50,20,0,0
