43
0,320,50,20,1,0
100,320,50,20,1,0
200,320,50,20,1,0
300,320,50,20,1,0
400,320,50,20,1,0
500,320,50,20,2,9
600,320,50,20,1,0
700,320,50,20,1,0
0,260,50,20,1,0
100,260,50,20,1,0
200,260,50,20,1,0
300,260,50,20,1,0
400,260,50,20,1,0
500,260,50,20,1,0
600,260,50,20,1,0
700,260,50,20,1,0
0,200,50,20,1,0
100,200,50,20,1,0
200,200,50,20,1,0
300,200,50,20,1,0
400,200,50,20,1,0
500,200,50,20,1,0
600,200,50,20,1,0
700,200,50,20,1,0
0,140,50,20,1,0
100,140,50,20,1,0
200,140,50,20,1,0
300,140,50,20,1,0
400,140,50,20,1,0
500,140,50,20,1,0
600,140,50,20,1,0
700,140,50,20,1,0
0,80,50,20,1,0
100,80,50,20,1,0
200,80,50,20,1,0
300,80,50,20,1,0
400,80,50,20,1,0
500,80,50,20,1,0
600,80,50,20,1,0
700,80,50,20,1,0
0,0,50,20,2,7
50,0,50,20,3,6
0,20,50,20,3,6
